participant_id	session_id	atlas	hemisphere	structname	numvert	surfarea	grayvol	thickavg	thickstd	meancurv	gauscurv	foldind	curvind	index	segid	mean_wgpct	stddev_wgpct	min_wgpct	max_wgpct	range_wgpct	snr_wgpct
sub-20253	ses-2	BA_exvivo	lh	BA1_exvivo	1144	736	2519	2.661	0.390	0.125	0.021	15	1.0	2	1	26.1719	5.4109	9.1495	42.0984	32.9489	4.8369
sub-20253	ses-2	BA_exvivo	lh	BA2_exvivo	3600	2411	6481	2.555	0.446	0.105	0.017	33	2.6	3	2	33.2626	6.2406	-1.9739	47.6159	49.5897	5.3300
sub-20253	ses-2	BA_exvivo	lh	BA3a_exvivo	1025	677	998	1.888	0.453	0.120	0.024	8	1.0	4	3	27.5780	4.7154	7.2491	37.8065	30.5574	5.8484
sub-20253	ses-2	BA_exvivo	lh	BA3b_exvivo	2510	1639	3844	2.129	0.600	0.108	0.019	22	2.1	5	4	25.7526	6.8542	2.8963	47.4707	44.5744	3.7572
sub-20253	ses-2	BA_exvivo	lh	BA4a_exvivo	1745	1072	3452	2.838	0.443	0.097	0.015	13	1.1	6	5	23.6671	4.8477	12.8702	38.7275	25.8573	4.8821
sub-20253	ses-2	BA_exvivo	lh	BA4p_exvivo	1226	798	2084	2.675	0.361	0.080	0.012	6	0.7	7	6	23.8329	4.1625	10.7403	36.4479	25.7076	5.7256
sub-20253	ses-2	BA_exvivo	lh	BA6_exvivo	10139	6730	22820	2.927	0.453	0.109	0.019	97	8.1	8	7	31.6769	6.4547	3.3709	50.6329	47.2620	4.9076
sub-20253	ses-2	BA_exvivo	lh	BA44_exvivo	2506	1684	5632	3.021	0.417	0.102	0.016	23	1.9	9	8	33.6380	7.0968	1.7434	46.1059	44.3626	4.7399
sub-20253	ses-2	BA_exvivo	lh	BA45_exvivo	3536	2404	7067	2.696	0.505	0.116	0.020	41	3.1	10	9	32.7102	7.5610	1.1905	47.1413	45.9508	4.3262
sub-20253	ses-2	BA_exvivo	lh	V1_exvivo	4188	2841	5136	1.911	0.538	0.136	0.028	49	5.2	11	10	19.1608	6.7094	-6.6391	37.6605	44.2996	2.8558
sub-20253	ses-2	BA_exvivo	lh	V2_exvivo	9416	6530	14405	2.158	0.515	0.135	0.028	116	11.5	12	11	24.0204	7.4474	-75.2908	44.9159	120.2067	3.2253
sub-20253	ses-2	BA_exvivo	lh	MT_exvivo	2098	1461	3988	2.555	0.375	0.119	0.020	28	1.6	13	12	28.9708	7.1175	3.5422	45.0809	41.5387	4.0704
sub-20253	ses-2	BA_exvivo	lh	perirhinal_exvivo	918	643	2219	3.183	0.619	0.129	0.020	11	0.7	14	13	31.8632	6.9437	0.0000	44.3907	44.3907	4.5888
sub-20253	ses-2	BA_exvivo	lh	entorhinal_exvivo	811	507	1980	3.074	0.986	0.080	0.018	6	0.5	15	14	24.7841	9.2312	0.0000	42.0333	42.0333	2.6848
sub-20253	ses-2	BA_exvivo	rh	BA1_exvivo	755	472	1677	2.704	0.453	0.113	0.018	8	0.5	2	1	25.2111	4.7761	10.2152	41.2360	31.0208	5.2786
sub-20253	ses-2	BA_exvivo	rh	BA2_exvivo	2463	1618	4453	2.491	0.466	0.107	0.018	24	2.0	3	2	31.2719	5.7823	8.8044	46.2625	37.4581	5.4082
sub-20253	ses-2	BA_exvivo	rh	BA3a_exvivo	1110	739	1107	1.895	0.389	0.115	0.021	8	0.9	4	3	26.8817	4.4128	10.6259	36.5813	25.9554	6.0917
sub-20253	ses-2	BA_exvivo	rh	BA3b_exvivo	1970	1264	2902	2.101	0.542	0.103	0.014	17	1.4	5	4	24.3750	5.6305	8.2602	43.1198	34.8597	4.3291
sub-20253	ses-2	BA_exvivo	rh	BA4a_exvivo	1565	953	3065	2.786	0.408	0.092	0.013	10	0.8	6	5	23.4002	5.0260	14.1352	35.7201	21.5849	4.6558
sub-20253	ses-2	BA_exvivo	rh	BA4p_exvivo	1261	830	2063	2.604	0.322	0.090	0.013	6	0.7	7	6	23.7023	3.9642	9.3272	34.2834	24.9562	5.9790
