participant_id	session_id	atlas	hemisphere	structname	numvert	surfarea	grayvol	thickavg	thickstd	meancurv	gauscurv	foldind	curvind	index	segid	mean_wgpct	stddev_wgpct	min_wgpct	max_wgpct	range_wgpct	snr_wgpct
sub-21516	ses-2	AAL	lh	Precentral_L	4905	3149	9183	2.699	0.632	0.109	0.023	38	4.8	2	1	25.2539	7.0071	2.3311	52.0935	49.7624	3.6040
sub-21516	ses-2	AAL	lh	Frontal_Sup_L	5119	3609	10769	2.860	0.523	0.125	0.030	56	6.6	3	3	30.5834	7.9038	-11.2686	54.8511	66.1198	3.8695
sub-21516	ses-2	AAL	lh	Frontal_Sup_Orb_L	1595	1173	3789	2.958	0.659	0.129	0.030	19	2.1	4	5	31.2234	7.8637	-5.0747	51.2743	56.3490	3.9706
sub-21516	ses-2	AAL	lh	Frontal_Mid_L	8530	6049	19619	2.827	0.545	0.123	0.027	114	9.4	5	7	29.3816	7.8814	-19.6490	51.9409	71.5900	3.7280
sub-21516	ses-2	AAL	lh	Frontal_Mid_Orb_L	922	681	2554	3.157	0.605	0.142	0.034	15	1.3	6	9	31.1343	9.1456	0.1185	62.9729	62.8544	3.4043
sub-21516	ses-2	AAL	lh	Frontal_Inf_Oper_L	1107	755	2559	3.044	0.612	0.107	0.023	8	1.0	7	11	31.2030	5.7933	10.1163	44.8573	34.7410	5.3861
sub-21516	ses-2	AAL	lh	Frontal_Inf_Tri_L	3464	2381	7882	2.876	0.499	0.114	0.025	36	3.4	8	13	30.7502	6.4747	-6.1072	46.1077	52.2149	4.7493
sub-21516	ses-2	AAL	lh	Frontal_Inf_Orb_L	1531	1085	4004	3.137	0.678	0.116	0.026	16	1.5	9	15	29.5800	7.8604	-0.9682	50.4101	51.3783	3.7632
sub-21516	ses-2	AAL	lh	Rolandic_Oper_L	1640	1151	3687	2.933	0.381	0.123	0.024	20	1.6	10	17	26.9034	7.2419	5.1012	48.6174	43.5162	3.7149
sub-21516	ses-2	AAL	lh	Supp_Motor_Area_L	3034	2182	8113	3.212	0.603	0.130	0.032	29	4.1	11	19	27.6015	7.2064	1.7379	47.2235	45.4856	3.8302
sub-21516	ses-2	AAL	lh	Olfactory_L	372	249	825	3.181	0.568	0.115	0.033	3	0.5	12	21	26.2214	7.9366	2.3734	41.7335	39.3600	3.3039
sub-21516	ses-2	AAL	lh	Olfactory_R	8	6	19	3.374	0.239	0.065	0.016	0	0.0	13	22	24.0143	4.1344	17.0332	29.9490	12.9158	5.8084
sub-21516	ses-2	AAL	lh	Frontal_Sup_Medial_L	4234	3070	12591	3.418	0.673	0.131	0.031	52	5.4	14	23	30.9518	7.5855	-11.0464	48.1257	59.1721	4.0804
sub-21516	ses-2	AAL	lh	Frontal_Med_Orb_L	972	688	2130	2.772	0.693	0.114	0.023	10	1.0	15	25	32.3807	7.5590	-4.9623	49.3861	54.3484	4.2837
sub-21516	ses-2	AAL	lh	Frontal_Med_Orb_R	10	6	15	3.173	0.121	0.204	0.026	0	0.0	16	26	40.7771	3.0440	36.5464	45.4630	8.9166	13.3960
sub-21516	ses-2	AAL	lh	Rectus_L	1640	1111	3345	2.599	0.630	0.121	0.027	27	1.8	17	27	27.7349	9.2586	-17.6557	54.7637	72.4193	2.9956
sub-21516	ses-2	AAL	lh	Rectus_R	74	38	174	3.154	0.398	0.075	0.014	1	0.1	18	28	30.4027	5.8967	19.9248	43.3438	23.4190	5.1558
sub-21516	ses-2	AAL	lh	Insula_L	3690	2428	7981	3.162	0.629	0.088	0.017	22	2.5	19	29	29.3842	6.9152	-3.4450	47.7338	51.1788	4.2492
sub-21516	ses-2	AAL	lh	Cingulum_Ant_L	2342	1668	5384	2.943	0.658	0.132	0.028	37	2.8	20	31	31.7184	7.2194	3.0644	52.8154	49.7510	4.3935
sub-21516	ses-2	AAL	lh	Cingulum_Ant_R	3	2	5	3.625	0.030	0.118	0.007	0	0.0	21	32	21.4820	2.7731	18.4919	23.9692	5.4774	7.7466
sub-21516	ses-2	AAL	lh	Cingulum_Mid_L	3144	2118	5883	2.770	0.620	0.108	0.021	27	2.9	22	33	31.2903	6.9926	-4.0169	48.9062	52.9230	4.4748
sub-21516	ses-2	AAL	lh	Cingulum_Mid_R	384	267	1211	3.490	0.661	0.118	0.026	5	0.4	23	34	31.9673	6.9655	6.7161	46.8001	40.0840	4.5894
sub-21516	ses-2	AAL	lh	Cingulum_Post_L	573	405	1216	2.765	0.826	0.138	0.027	7	0.6	24	35	26.7198	7.3229	10.8473	44.3288	33.4815	3.6488
sub-21516	ses-2	AAL	lh	Cingulum_Post_R	22	11	65	3.317	0.214	0.165	0.052	1	0.1	25	36	21.4150	3.5387	11.8685	28.0491	16.1806	6.0517
sub-21516	ses-2	AAL	lh	Hippocampus_L	20	13	24	2.618	0.337	0.132	0.012	0	0.0	26	37	31.4888	3.5917	19.9213	35.5784	15.6571	8.7670
sub-21516	ses-2	AAL	lh	ParaHippocampal_L	1603	1041	3739	3.156	0.698	0.084	0.015	9	1.0	27	39	26.7719	6.3929	-3.8358	39.3722	43.2080	4.1877
sub-21516	ses-2	AAL	lh	Amygdala_L	37	20	57	2.263	0.414	0.115	0.042	0	0.0	28	41	13.7118	7.5549	-1.4393	29.3576	30.7969	1.8149
sub-21516	ses-2	AAL	lh	Calcarine_L	6037	4117	7486	1.892	0.544	0.141	0.038	74	9.6	29	43	18.9735	7.5446	-43.7740	37.3729	81.1469	2.5149
sub-21516	ses-2	AAL	lh	Calcarine_R	33	24	40	1.584	0.748	0.169	0.061	1	0.1	30	44	14.1714	6.4706	7.3892	29.8463	22.4571	2.1901
sub-21516	ses-2	AAL	lh	Cuneus_L	3177	2157	4830	2.214	0.528	0.133	0.028	39	3.7	31	45	23.7684	6.4349	-8.8845	41.5647	50.4491	3.6937
sub-21516	ses-2	AAL	lh	Lingual_L	5265	3624	7828	2.182	0.585	0.129	0.028	61	6.5	32	47	22.3868	6.8639	-0.5003	42.3461	42.8464	3.2615
