participant_id	session_id	atlas	hemisphere	structname	numvert	surfarea	grayvol	thickavg	thickstd	meancurv	gauscurv	foldind	curvind	index	segid	mean_wgpct	stddev_wgpct	min_wgpct	max_wgpct	range_wgpct	snr_wgpct
sub-20860	ses-1	CC200	lh	region00001	1049	686	1736	2.476	0.589	0.117	0.022	11	0.9	2	1	25.8699	5.7295	10.4607	41.2407	30.7800	4.5152
sub-20860	ses-1	CC200	lh	region00002	2162	1447	3842	2.741	0.390	0.109	0.019	17	1.7	3	2	30.6531	5.8120	11.0438	48.5629	37.5191	5.2741
sub-20860	ses-1	CC200	lh	region00004	1168	765	1981	2.937	0.508	0.095	0.015	9	0.8	4	4	27.4459	8.0389	-10.9337	42.9803	53.9140	3.4141
sub-20860	ses-1	CC200	lh	region00005	1961	1372	4004	2.866	0.519	0.119	0.024	22	2.0	5	5	33.2506	6.5827	3.4547	47.7399	44.2852	5.0512
sub-20860	ses-1	CC200	lh	region00008	1672	1065	2364	2.091	0.480	0.103	0.021	12	1.5	6	8	21.3803	5.3626	7.3655	37.9018	30.5362	3.9869
sub-20860	ses-1	CC200	lh	region00011	2364	1564	4566	2.765	0.452	0.097	0.015	18	1.4	7	11	31.6533	5.6438	8.9090	45.3360	36.4270	5.6085
sub-20860	ses-1	CC200	lh	region00013	415	279	954	3.292	0.421	0.120	0.033	3	0.5	8	13	27.9403	5.8056	7.2191	41.0943	33.8752	4.8126
sub-20860	ses-1	CC200	lh	region00016	2947	2033	4974	2.425	0.441	0.124	0.024	32	3.1	9	16	27.1809	6.1685	-9.0187	42.2237	51.2424	4.4064
sub-20860	ses-1	CC200	lh	region00019	1869	1250	2786	2.347	0.444	0.111	0.020	14	1.7	10	19	25.7173	4.8564	9.3511	40.6525	31.3015	5.2955
sub-20860	ses-1	CC200	lh	region00020	1272	844	2252	3.087	0.457	0.089	0.013	7	0.7	11	20	31.6107	5.3071	5.2691	43.5248	38.2557	5.9563
sub-20860	ses-1	CC200	lh	region00021	1442	934	1855	1.921	0.420	0.105	0.018	11	1.0	12	21	21.0089	5.3954	3.2349	34.8573	31.6225	3.8938
sub-20860	ses-1	CC200	lh	region00023	2352	1576	4411	2.694	0.400	0.115	0.020	24	2.0	13	23	32.0795	6.2240	7.1004	48.2367	41.1363	5.1541
sub-20860	ses-1	CC200	lh	region00024	1126	741	2485	2.943	0.386	0.101	0.021	10	0.8	14	24	26.3493	5.4350	5.6901	42.4893	36.7992	4.8481
sub-20860	ses-1	CC200	lh	region00027	855	571	1941	2.901	0.550	0.121	0.028	8	0.9	15	27	28.3652	6.9709	-4.6188	43.8773	48.4961	4.0691
sub-20860	ses-1	CC200	lh	region00029	355	250	917	3.029	0.654	0.117	0.026	4	0.3	16	29	29.4270	7.7452	12.3699	44.3535	31.9837	3.7994
sub-20860	ses-1	CC200	lh	region00033	1248	806	2317	2.737	0.466	0.099	0.015	10	0.8	17	33	31.0825	5.8772	11.8066	46.7887	34.9821	5.2887
sub-20860	ses-1	CC200	lh	region00034	1153	748	2078	2.759	0.318	0.105	0.019	8	0.9	18	34	30.7471	4.6514	16.4224	42.8397	26.4173	6.6102
sub-20860	ses-1	CC200	lh	region00037	144	96	216	2.319	0.764	0.132	0.032	2	0.1	19	37	24.5820	8.6159	-5.6116	41.6293	47.2409	2.8531
sub-20860	ses-1	CC200	lh	region00040	818	554	1679	2.979	0.365	0.113	0.019	8	0.6	20	40	31.9590	5.2423	14.9188	42.7097	27.7909	6.0964
sub-20860	ses-1	CC200	lh	region00042	820	535	1759	3.068	0.609	0.113	0.020	10	0.7	21	42	33.4523	9.8257	0.8847	54.8240	53.9393	3.4046
sub-20860	ses-1	CC200	lh	region00043	950	701	2440	2.901	0.536	0.125	0.027	12	1.0	22	43	30.2808	7.0295	6.3112	47.4697	41.1585	4.3077
sub-20860	ses-1	CC200	lh	region00045	21	15	13	1.356	0.531	0.063	0.006	0	0.0	23	45	31.5699	12.4459	0.0000	46.7405	46.7405	2.5366
sub-20860	ses-1	CC200	lh	region00046	660	444	1345	2.716	0.596	0.131	0.027	8	0.8	24	46	30.5930	7.7462	9.1783	47.0843	37.9060	3.9494
sub-20860	ses-1	CC200	lh	region00050	1312	887	2283	2.510	0.403	0.105	0.021	8	1.3	25	50	24.8598	5.5775	8.1089	37.0117	28.9028	4.4571
sub-20860	ses-1	CC200	lh	region00051	947	623	1595	2.460	0.437	0.108	0.014	10	0.6	26	51	33.5556	5.9096	-12.4111	46.8811	59.2921	5.6781
sub-20860	ses-1	CC200	lh	region00054	1783	1193	2327	1.857	0.412	0.134	0.028	20	2.2	27	54	23.8102	4.3496	4.8848	38.9862	34.1014	5.4741
sub-20860	ses-1	CC200	lh	region00055	1073	728	2190	2.904	0.510	0.112	0.025	10	1.1	28	55	29.9929	6.7083	-0.6491	43.7354	44.3844	4.4710
sub-20860	ses-1	CC200	lh	region00056	1392	972	3082	2.851	0.444	0.127	0.021	17	1.2	29	56	30.0100	7.1952	1.9598	44.7122	42.7523	4.1708
sub-20860	ses-1	CC200	lh	region00057	700	493	1385	2.798	0.505	0.106	0.020	5	0.6	30	57	31.5091	6.1184	11.3182	49.9342	38.6160	5.1499
sub-20860	ses-1	CC200	lh	region00058	459	313	1049	2.898	0.550	0.125	0.026	7	0.5	31	58	26.3018	6.6915	4.4710	41.0618	36.5908	3.9306
sub-20860	ses-1	CC200	lh	region00061	1361	921	3026	2.855	0.469	0.107	0.019	10	1.1	32	61	29.6327	5.8063	4.3526	47.0074	42.6549	5.1036
sub-20860	ses-1	CC200	lh	region00063	1148	788	2404	2.790	0.567	0.117	0.022	11	1.1	33	63	30.0703	5.8247	9.7275	47.3363	37.6088	5.1625
sub-20860	ses-1	CC200	lh	region00067	296	193	459	2.778	0.238	0.089	0.017	1	0.2	34	67	31.6307	3.0635	23.1443	40.2490	17.1047	10.3250
sub-20860	ses-1	CC200	lh	region00068	27	17	43	2.063	0.375	0.110	0.012	0	0.0	35	68	27.3976	3.0453	23.1096	33.7630	10.6534	8.9966
sub-20860	ses-1	CC200	lh	region00070	2173	1490	2429	1.823	0.493	0.134	0.037	25	3.2	36	70	19.0414	8.4719	-49.1687	48.9267	98.0954	2.2476
sub-20860	ses-1	CC200	lh	region00072	2046	1376	3845	2.779	0.528	0.104	0.016	16	1.5	37	72	33.6879	5.6072	8.6455	49.3083	40.6628	6.0080
sub-20860	ses-1	CC200	lh	region00073	1918	1242	3418	2.649	0.392	0.102	0.023	12	1.7	38	73	25.6003	6.1706	7.9583	46.4564	38.4981	4.1487
sub-20860	ses-1	CC200	lh	region00074	1273	861	2859	2.801	0.451	0.104	0.018	12	1.0	39	74	31.3234	6.0818	9.8761	45.1806	35.3044	5.1503
