participant_id	session_id	atlas	hemisphere	structname	numvert	surfarea	grayvol	thickavg	thickstd	meancurv	gauscurv	foldind	curvind	index	segid	mean_wgpct	stddev_wgpct	min_wgpct	max_wgpct	range_wgpct	snr_wgpct
sub-20149	ses-1	Schaefer2018_200Parcels_7Networks_order	lh	Background+FreeSurfer_Defined_Medial_Wall	9718	5921	2615	0.410	1.020	0.077	0.020	64	6.9	1	0	3.3401	9.7231	-72.4985	58.6575	131.1560	0.3435
sub-20149	ses-1	Schaefer2018_200Parcels_7Networks_order	lh	7Networks_LH_Vis_1	1327	868	2380	2.804	0.377	0.110	0.019	14	1.0	2	1	32.2108	6.4768	-6.3431	47.8017	54.1448	4.9733
sub-20149	ses-1	Schaefer2018_200Parcels_7Networks_order	lh	7Networks_LH_Vis_2	2843	1912	4765	2.455	0.531	0.116	0.021	29	2.5	3	2	30.0757	5.6389	8.4862	43.7009	35.2146	5.3336
sub-20149	ses-1	Schaefer2018_200Parcels_7Networks_order	lh	7Networks_LH_Vis_3	1392	970	2846	2.865	0.376	0.127	0.024	17	1.4	4	3	33.5728	6.8348	8.2964	47.8621	39.5657	4.9121
sub-20149	ses-1	Schaefer2018_200Parcels_7Networks_order	lh	7Networks_LH_Vis_4	1351	949	2380	2.269	0.562	0.134	0.022	17	1.4	5	4	27.5392	6.6052	4.9681	45.3102	40.3422	4.1693
sub-20149	ses-1	Schaefer2018_200Parcels_7Networks_order	lh	7Networks_LH_Vis_5	1653	1085	2411	2.052	0.549	0.131	0.024	21	1.8	6	5	24.0190	7.3432	6.0188	41.4039	35.3851	3.2709
sub-20149	ses-1	Schaefer2018_200Parcels_7Networks_order	lh	7Networks_LH_Vis_6	350	241	575	2.617	0.555	0.091	0.015	1	0.2	7	6	30.3982	5.3244	15.4986	39.1928	23.6942	5.7093
sub-20149	ses-1	Schaefer2018_200Parcels_7Networks_order	lh	7Networks_LH_Vis_7	2269	1627	3053	1.817	0.493	0.131	0.030	29	2.9	8	7	19.5054	7.1407	-4.2206	42.1848	46.4054	2.7316
sub-20149	ses-1	Schaefer2018_200Parcels_7Networks_order	lh	7Networks_LH_Vis_8	1829	1244	3073	2.561	0.363	0.120	0.020	18	1.7	9	8	32.8369	6.6386	3.5706	48.1540	44.5834	4.9464
sub-20149	ses-1	Schaefer2018_200Parcels_7Networks_order	lh	7Networks_LH_Vis_9	1285	797	1522	2.014	0.437	0.127	0.024	14	1.4	10	9	25.6841	5.9381	4.7210	38.2914	33.5705	4.3253
