participant_id	session_id	atlas	hemisphere	structname	numvert	surfarea	grayvol	thickavg	thickstd	meancurv	gauscurv	foldind	curvind	index	segid	mean_wgpct	stddev_wgpct	min_wgpct	max_wgpct	range_wgpct	snr_wgpct
sub-21161	ses-1	Schaefer2018_100Parcels_7Networks_order	lh	Background+FreeSurfer_Defined_Medial_Wall	8134	4994	1718	0.358	0.894	0.078	0.017	43	5.7	1	0	2.7780	9.0425	-31.4584	64.4167	95.8751	0.3072
sub-21161	ses-1	Schaefer2018_100Parcels_7Networks_order	lh	7Networks_LH_Vis_1	1376	886	2449	2.649	0.555	0.083	0.013	8	0.7	2	1	28.2404	7.7249	-3.8392	41.4246	45.2639	3.6558
sub-21161	ses-1	Schaefer2018_100Parcels_7Networks_order	lh	7Networks_LH_Vis_2	2532	1696	3764	2.216	0.614	0.124	0.023	32	2.4	3	2	26.4897	6.6001	2.3792	47.4375	45.0583	4.0135
sub-21161	ses-1	Schaefer2018_100Parcels_7Networks_order	lh	7Networks_LH_Vis_3	2143	1492	3670	2.472	0.517	0.128	0.023	30	2.1	4	3	25.1501	7.1431	-10.3814	39.7990	50.1804	3.5209
sub-21161	ses-1	Schaefer2018_100Parcels_7Networks_order	lh	7Networks_LH_Vis_4	2425	1573	3092	1.943	0.436	0.136	0.028	35	2.8	5	4	24.1824	7.3175	1.4169	42.9027	41.4857	3.3047
sub-21161	ses-1	Schaefer2018_100Parcels_7Networks_order	lh	7Networks_LH_Vis_5	2727	1748	2904	1.632	0.390	0.119	0.026	32	2.9	6	5	19.4905	6.8046	-9.6092	37.0362	46.6454	2.8643
sub-21161	ses-1	Schaefer2018_100Parcels_7Networks_order	lh	7Networks_LH_Vis_6	3213	2241	3760	1.883	0.514	0.128	0.025	33	3.5	7	6	20.2362	7.0014	-33.0310	40.3087	73.3397	2.8903
sub-21161	ses-1	Schaefer2018_100Parcels_7Networks_order	lh	7Networks_LH_Vis_7	1987	1308	3679	2.454	0.434	0.122	0.023	28	1.7	8	7	26.2038	6.2426	4.7298	41.6801	36.9503	4.1976
sub-21161	ses-1	Schaefer2018_100Parcels_7Networks_order	lh	7Networks_LH_Vis_8	3112	2110	4010	2.015	0.436	0.132	0.025	36	3.3	9	8	26.9322	6.3642	7.4154	42.0051	34.5897	4.2318
sub-21161	ses-1	Schaefer2018_100Parcels_7Networks_order	lh	7Networks_LH_Vis_9	2558	1711	3617	2.118	0.447	0.125	0.027	24	2.9	10	9	24.3747	5.2126	5.9629	42.3003	36.3374	4.6761
sub-21161	ses-1	Schaefer2018_100Parcels_7Networks_order	lh	7Networks_LH_SomMot_1	2559	1611	4803	2.683	0.400	0.105	0.018	28	1.9	11	10	26.2895	6.4791	2.5625	42.3241	39.7616	4.0576
sub-21161	ses-1	Schaefer2018_100Parcels_7Networks_order	lh	7Networks_LH_SomMot_2	1280	872	2082	2.836	0.394	0.113	0.021	12	1.1	12	11	27.4223	6.6781	-4.2622	43.1665	47.4288	4.1063
sub-21161	ses-1	Schaefer2018_100Parcels_7Networks_order	lh	7Networks_LH_SomMot_3	1969	1297	4176	2.908	0.428	0.123	0.023	23	2.0	13	12	28.8515	6.6297	2.3537	47.3487	44.9950	4.3518
sub-21161	ses-1	Schaefer2018_100Parcels_7Networks_order	lh	7Networks_LH_SomMot_4	2194	1439	3525	2.339	0.517	0.100	0.017	17	1.6	14	13	25.4284	4.7843	7.4283	39.0788	31.6505	5.3150
sub-21161	ses-1	Schaefer2018_100Parcels_7Networks_order	lh	7Networks_LH_SomMot_5	3535	2209	4816	2.038	0.581	0.099	0.019	23	2.8	15	14	22.9288	5.0694	7.4772	36.0026	28.5254	4.5230
sub-21161	ses-1	Schaefer2018_100Parcels_7Networks_order	lh	7Networks_LH_SomMot_6	4301	2807	6779	2.326	0.652	0.113	0.022	39	3.9	16	15	23.7811	6.2771	4.1247	41.0980	36.9733	3.7885
sub-21161	ses-1	Schaefer2018_100Parcels_7Networks_order	lh	7Networks_LH_DorsAttn_Post_1	4034	2745	8004	2.755	0.475	0.116	0.024	49	3.9	17	16	29.5634	7.8398	-3.3394	47.1818	50.5212	3.7709
sub-21161	ses-1	Schaefer2018_100Parcels_7Networks_order	lh	7Networks_LH_DorsAttn_Post_2	1370	928	2760	2.824	0.501	0.119	0.023	15	1.3	18	17	29.5228	6.7116	11.1618	44.9131	33.7513	4.3988
sub-21161	ses-1	Schaefer2018_100Parcels_7Networks_order	lh	7Networks_LH_DorsAttn_Post_3	3093	2068	4822	2.300	0.439	0.103	0.017	27	2.3	19	18	27.4284	6.1777	-1.8809	44.2958	46.1768	4.4399
sub-21161	ses-1	Schaefer2018_100Parcels_7Networks_order	lh	7Networks_LH_DorsAttn_Post_4	1452	946	2083	2.410	0.319	0.098	0.015	8	1.0	20	19	30.0917	5.0886	13.0985	44.0910	30.9925	5.9135
sub-21161	ses-1	Schaefer2018_100Parcels_7Networks_order	lh	7Networks_LH_DorsAttn_Post_5	1115	802	2395	2.489	0.540	0.135	0.028	15	1.3	21	20	27.4140	7.5024	4.8698	51.7881	46.9183	3.6540
sub-21161	ses-1	Schaefer2018_100Parcels_7Networks_order	lh	7Networks_LH_DorsAttn_Post_6	1361	910	2506	2.370	0.467	0.127	0.025	17	1.5	22	21	26.4028	6.6047	5.4660	42.3287	36.8627	3.9976
sub-21161	ses-1	Schaefer2018_100Parcels_7Networks_order	lh	7Networks_LH_DorsAttn_PrCv_1	2088	1382	3786	2.863	0.452	0.105	0.017	16	1.5	23	22	32.8697	5.5874	9.6150	44.8652	35.2503	5.8828
sub-21161	ses-1	Schaefer2018_100Parcels_7Networks_order	lh	7Networks_LH_DorsAttn_FEF_1	2725	1775	5178	2.782	0.454	0.104	0.017	20	1.9	24	23	28.6319	5.7878	8.7963	42.1951	33.3988	4.9469
sub-21161	ses-1	Schaefer2018_100Parcels_7Networks_order	lh	7Networks_LH_SalVentAttn_ParOper_1	1414	916	2833	2.772	0.435	0.106	0.018	14	1.0	25	24	28.7585	6.7052	-0.5428	46.4291	46.9718	4.2890
sub-21161	ses-1	Schaefer2018_100Parcels_7Networks_order	lh	7Networks_LH_SalVentAttn_FrOperIns_1	1695	1115	4001	3.383	0.791	0.088	0.021	13	1.2	26	25	25.4459	8.2809	-18.6579	41.3639	60.0218	3.0729
sub-21161	ses-1	Schaefer2018_100Parcels_7Networks_order	lh	7Networks_LH_SalVentAttn_FrOperIns_2	1800	1164	3287	2.941	0.430	0.092	0.015	10	1.1	27	26	31.6103	5.9548	6.1956	43.8618	37.6662	5.3084
sub-21161	ses-1	Schaefer2018_100Parcels_7Networks_order	lh	7Networks_LH_SalVentAttn_PFCl_1	1997	1428	4223	2.810	0.384	0.132	0.029	31	2.2	28	27	29.9411	8.6286	-8.4083	45.4183	53.8265	3.4700
sub-21161	ses-1	Schaefer2018_100Parcels_7Networks_order	lh	7Networks_LH_SalVentAttn_Med_1	2469	1604	5048	2.963	0.695	0.108	0.016	22	1.7	29	28	34.1542	6.0021	9.7939	49.4940	39.7002	5.6904
sub-21161	ses-1	Schaefer2018_100Parcels_7Networks_order	lh	7Networks_LH_SalVentAttn_Med_2	1375	905	2082	2.710	0.322	0.096	0.016	6	1.0	30	29	32.6043	5.2384	12.9739	44.5216	31.5477	6.2241
sub-21161	ses-1	Schaefer2018_100Parcels_7Networks_order	lh	7Networks_LH_SalVentAttn_Med_3	1446	982	3950	3.207	0.526	0.121	0.025	15	1.4	31	30	27.3981	6.2254	-0.5445	42.6810	43.2255	4.4010
sub-21161	ses-1	Schaefer2018_100Parcels_7Networks_order	lh	7Networks_LH_Limbic_OFC_1	3193	2332	8016	3.097	0.668	0.127	0.026	56	3.5	32	31	30.2393	10.9034	-17.6361	59.2845	76.9206	2.7734
sub-21161	ses-1	Schaefer2018_100Parcels_7Networks_order	lh	7Networks_LH_Limbic_TempPole_1	3336	2360	9206	3.257	0.943	0.113	0.023	43	3.2	33	32	27.2337	10.1121	-8.6132	47.6271	56.2403	2.6932
sub-21161	ses-1	Schaefer2018_100Parcels_7Networks_order	lh	7Networks_LH_Limbic_TempPole_2	2247	1628	5276	2.908	0.650	0.125	0.025	28	2.2	34	33	30.1061	8.1531	-15.0223	48.1005	63.1228	3.6926
sub-21161	ses-1	Schaefer2018_100Parcels_7Networks_order	lh	7Networks_LH_Cont_Par_1	2790	1874	5033	2.643	0.413	0.112	0.020	27	2.4	35	34	30.3983	6.8711	2.7958	49.3764	46.5806	4.4241
sub-21161	ses-1	Schaefer2018_100Parcels_7Networks_order	lh	7Networks_LH_Cont_PFCl_1	3291	2295	6615	2.695	0.438	0.110	0.019	36	2.5	36	35	31.2816	7.4703	-10.6998	44.9980	55.6978	4.1874
sub-21161	ses-1	Schaefer2018_100Parcels_7Networks_order	lh	7Networks_LH_Cont_pCun_1	761	536	1304	2.339	0.362	0.112	0.016	7	0.6	37	36	27.3765	6.2004	-1.7136	41.8071	43.5206	4.4153
sub-21161	ses-1	Schaefer2018_100Parcels_7Networks_order	lh	7Networks_LH_Cont_Cing_1	1030	683	1921	2.312	1.123	0.121	0.026	15	1.0	38	37	27.6246	7.4059	0.0000	44.4901	44.4901	3.7301
sub-21161	ses-1	Schaefer2018_100Parcels_7Networks_order	lh	7Networks_LH_Default_Temp_1	3439	2290	8254	3.180	0.440	0.095	0.016	30	2.3	39	38	33.0805	6.5232	4.3926	48.6826	44.2900	5.0712
sub-21161	ses-1	Schaefer2018_100Parcels_7Networks_order	lh	7Networks_LH_Default_Temp_2	2335	1498	4878	3.064	0.464	0.104	0.018	19	1.8	40	39	32.8493	6.6519	5.9983	48.2458	42.2475	4.9384
sub-21161	ses-1	Schaefer2018_100Parcels_7Networks_order	lh	7Networks_LH_Default_Par_1	1987	1331	3557	2.608	0.427	0.113	0.021	28	1.7	41	40	29.1283	7.7109	-1.8933	48.4618	50.3551	3.7775
sub-21161	ses-1	Schaefer2018_100Parcels_7Networks_order	lh	7Networks_LH_Default_Par_2	4258	2936	9049	2.822	0.476	0.120	0.023	50	4.2	42	41	28.6957	8.1272	0.6643	47.4487	46.7845	3.5308
sub-21161	ses-1	Schaefer2018_100Parcels_7Networks_order	lh	7Networks_LH_Default_PFC_1	1292	900	2719	2.938	0.509	0.103	0.020	11	1.0	43	42	29.0036	7.5043	-12.2666	44.1354	56.4021	3.8649
sub-21161	ses-1	Schaefer2018_100Parcels_7Networks_order	lh	7Networks_LH_Default_PFC_2	3280	2347	7746	2.855	0.433	0.126	0.025	47	3.3	44	43	29.7744	7.8199	-1.4489	47.9428	49.3917	3.8075
sub-21161	ses-1	Schaefer2018_100Parcels_7Networks_order	lh	7Networks_LH_Default_PFC_3	2737	2028	6217	2.929	0.562	0.131	0.024	37	3.1	45	44	31.5550	8.0196	0.0000	48.2842	48.2842	3.9347
sub-21161	ses-1	Schaefer2018_100Parcels_7Networks_order	lh	7Networks_LH_Default_PFC_4	2892	2164	6963	2.804	0.534	0.132	0.028	45	3.1	46	45	30.9508	8.7745	-11.6117	51.3184	62.9302	3.5274
