participant_id	session_id	atlas	hemisphere	structname	numvert	surfarea	grayvol	thickavg	thickstd	meancurv	gauscurv	foldind	curvind	index	segid	mean_wgpct	stddev_wgpct	min_wgpct	max_wgpct	range_wgpct	snr_wgpct
sub-21567	ses-1	Schaefer2018_100Parcels_7Networks_order	lh	Background+FreeSurfer_Defined_Medial_Wall	9208	5591	2381	0.393	1.018	0.088	0.023	89	8.2	1	0	3.3891	10.3642	-77.4880	62.8398	140.3279	0.3270
sub-21567	ses-1	Schaefer2018_100Parcels_7Networks_order	lh	7Networks_LH_Vis_1	2065	1298	3936	3.040	0.652	0.078	0.015	11	1.2	2	1	27.3729	9.7265	-90.4911	42.4392	132.9303	2.8143
sub-21567	ses-1	Schaefer2018_100Parcels_7Networks_order	lh	7Networks_LH_Vis_2	2613	1738	4361	2.530	0.594	0.112	0.020	26	2.2	3	2	26.8858	5.8928	3.4548	39.7853	36.3305	4.5625
sub-21567	ses-1	Schaefer2018_100Parcels_7Networks_order	lh	7Networks_LH_Vis_3	2130	1428	3960	2.665	0.586	0.115	0.020	26	1.6	4	3	25.3004	7.5987	-73.3153	42.3747	115.6900	3.3296
sub-21567	ses-1	Schaefer2018_100Parcels_7Networks_order	lh	7Networks_LH_Vis_4	2942	1881	4601	2.241	0.571	0.137	0.029	40	3.7	5	4	22.1542	6.9516	-6.8207	40.3784	47.1991	3.1869
sub-21567	ses-1	Schaefer2018_100Parcels_7Networks_order	lh	7Networks_LH_Vis_5	2110	1412	3149	2.109	0.601	0.122	0.025	22	2.3	6	5	18.0087	5.7975	1.4131	33.8659	32.4528	3.1063
sub-21567	ses-1	Schaefer2018_100Parcels_7Networks_order	lh	7Networks_LH_Vis_6	2320	1610	3685	2.430	0.516	0.120	0.024	27	2.2	7	6	21.2812	9.3972	-55.4557	40.3113	95.7671	2.2646
sub-21567	ses-1	Schaefer2018_100Parcels_7Networks_order	lh	7Networks_LH_Vis_7	2768	1892	5333	2.743	0.330	0.107	0.018	26	2.1	8	7	31.0856	6.8371	4.4389	44.9909	40.5521	4.5466
sub-21567	ses-1	Schaefer2018_100Parcels_7Networks_order	lh	7Networks_LH_Vis_8	3451	2361	6571	2.592	0.441	0.114	0.021	39	2.8	9	8	27.9854	7.4100	-3.7187	43.1253	46.8439	3.7767
sub-21567	ses-1	Schaefer2018_100Parcels_7Networks_order	lh	7Networks_LH_Vis_9	1955	1338	3228	2.250	0.427	0.123	0.021	24	1.8	10	9	24.9700	5.6295	6.7627	39.6849	32.9222	4.4356
sub-21567	ses-1	Schaefer2018_100Parcels_7Networks_order	lh	7Networks_LH_SomMot_1	3423	2191	7813	3.178	0.550	0.092	0.014	26	2.0	11	10	29.5916	6.0256	8.7435	44.9204	36.1769	4.9110
sub-21567	ses-1	Schaefer2018_100Parcels_7Networks_order	lh	7Networks_LH_SomMot_2	1382	941	2663	3.323	0.508	0.110	0.017	10	1.0	12	11	29.4912	5.8035	4.3524	42.3707	38.0183	5.0816
