participant_id	session_id	atlas	hemisphere	structname	numvert	surfarea	grayvol	thickavg	thickstd	meancurv	gauscurv	foldind	curvind	index	segid	mean_wgpct	stddev_wgpct	min_wgpct	max_wgpct	range_wgpct	snr_wgpct
sub-20691	ses-2	Juelich	lh	Anterior_intraparietal_sulcus_hIP1_L	747	518	1174	2.665	0.299	0.123	0.024	8	0.7	2	1	30.9557	6.4126	4.9716	42.3618	37.3901	4.8273
sub-20691	ses-2	Juelich	lh	Anterior_intraparietal_sulcus_hIP2_L	335	245	684	3.058	0.349	0.143	0.021	5	0.4	3	3	32.5095	7.3797	12.1872	44.6195	32.4323	4.4052
sub-20691	ses-2	Juelich	lh	Anterior_intraparietal_sulcus_hIP3_L	708	470	1053	2.564	0.280	0.102	0.013	5	0.4	4	5	31.4070	4.4628	6.9924	41.2862	34.2938	7.0375
sub-20691	ses-2	Juelich	lh	Amygdala_laterobasal_group_L	56	34	104	3.048	0.247	0.033	0.004	0	0.0	5	9	31.5636	8.3147	5.3958	40.2993	34.9035	3.7961
sub-20691	ses-2	Juelich	lh	Amygdala_superficial_group_L	15	8	20	1.230	1.104	0.217	0.084	1	0.0	6	11	8.9963	8.6098	0.0000	22.4395	22.4395	1.0449
sub-20691	ses-2	Juelich	lh	Brocas_area_BA44_L	1930	1278	4680	3.130	0.393	0.091	0.017	17	1.2	7	13	32.3055	7.3833	4.5640	45.7073	41.1433	4.3755
sub-20691	ses-2	Juelich	lh	Brocas_area_BA45_L	1565	1061	3304	2.748	0.421	0.109	0.020	16	1.3	8	15	31.9928	7.1312	8.0547	46.9671	38.9124	4.4863
sub-20691	ses-2	Juelich	lh	Hippocampus_cornu_ammonis_L	258	175	334	2.529	0.309	0.115	0.024	2	0.2	9	17	27.8190	5.8342	4.6885	39.8683	35.1798	4.7683
sub-20691	ses-2	Juelich	lh	Hippocampus_entorhinal_cortex_L	746	496	2203	3.517	0.612	0.081	0.017	3	0.5	10	19	28.9291	8.6596	-5.4959	44.7856	50.2815	3.3407
sub-20691	ses-2	Juelich	lh	Hippocampus_subiculum_L	305	207	664	2.984	0.424	0.128	0.021	4	0.3	11	25	25.9479	7.1852	8.2817	47.7593	39.4776	3.6113
sub-20691	ses-2	Juelich	lh	Inferior_parietal_lobule_PF_L	1546	1083	3628	2.907	0.335	0.120	0.023	24	1.5	12	27	28.8948	9.0237	-1.9957	47.5990	49.5947	3.2021
sub-20691	ses-2	Juelich	lh	Inferior_parietal_lobule_PFcm_L	755	503	1279	3.185	0.437	0.100	0.020	6	0.7	13	29	32.8252	6.4490	10.1183	46.7654	36.6471	5.0900
sub-20691	ses-2	Juelich	lh	Inferior_parietal_lobule_PFm_L	918	658	2449	3.033	0.501	0.123	0.022	12	0.8	14	31	30.8670	6.6839	9.6927	47.4940	37.8013	4.6181
sub-20691	ses-2	Juelich	lh	Inferior_parietal_lobule_PFop_L	369	272	973	3.087	0.405	0.140	0.024	5	0.4	15	33	30.2766	6.7541	11.7313	41.7067	29.9754	4.4827
sub-20691	ses-2	Juelich	lh	Inferior_parietal_lobule_PFt_L	712	469	1202	2.909	0.327	0.114	0.022	5	0.7	16	35	34.6684	5.9545	10.4552	44.6919	34.2367	5.8223
sub-20691	ses-2	Juelich	lh	Inferior_parietal_lobule_Pga_L	1561	1134	3521	2.800	0.477	0.127	0.025	26	1.5	17	37	30.0034	8.9253	3.9552	47.7220	43.7668	3.3616
sub-20691	ses-2	Juelich	lh	Inferior_parietal_lobule_PGp_L	2538	1781	5900	2.849	0.439	0.110	0.020	30	2.0	18	39	30.7984	7.8054	2.2855	49.6077	47.3223	3.9458
sub-20691	ses-2	Juelich	lh	Primary_auditory_cortex_TE10_L	463	305	877	2.898	0.565	0.130	0.019	7	0.3	19	41	24.4745	6.2123	6.6115	44.5163	37.9047	3.9397
sub-20691	ses-2	Juelich	lh	Primary_auditory_cortex_TE11_L	424	275	599	2.593	0.370	0.093	0.016	2	0.3	20	43	27.0796	3.7758	15.3744	36.5740	21.1995	7.1720
sub-20691	ses-2	Juelich	lh	Primary_auditory_cortex_TE12_L	258	179	562	3.398	0.701	0.095	0.014	3	0.2	21	45	30.8800	6.9759	5.6640	44.6371	38.9730	4.4267
sub-20691	ses-2	Juelich	lh	Primary_motor_cortex_BA4a_L	1783	1162	2799	2.278	0.673	0.106	0.018	17	1.2	22	47	23.1622	6.2273	4.8862	39.8510	34.9647	3.7194
sub-20691	ses-2	Juelich	lh	Primary_motor_cortex_BA4p_L	711	463	897	2.125	0.574	0.089	0.012	4	0.4	23	49	24.3679	4.1262	12.2663	36.4462	24.1799	5.9056
sub-20691	ses-2	Juelich	lh	Primary_somatosensory_cortex_BA1_L	1533	988	2850	2.397	0.673	0.119	0.023	18	1.5	24	51	22.2410	6.5183	3.3504	41.0048	37.6544	3.4121
sub-20691	ses-2	Juelich	lh	Primary_somatosensory_cortex_BA2_L	1231	810	1988	2.562	0.368	0.100	0.016	9	0.8	25	53	30.7979	5.9977	11.7007	45.0067	33.3060	5.1350
sub-20691	ses-2	Juelich	lh	Primary_somatosensory_cortex_BA3a_L	576	375	561	2.084	0.543	0.131	0.035	4	0.8	26	55	26.9259	3.8277	10.6081	36.4260	25.8179	7.0345
sub-20691	ses-2	Juelich	lh	Primary_somatosensory_cortex_BA3b_L	1048	672	1331	2.003	0.494	0.079	0.011	5	0.5	27	57	25.7224	5.0921	7.9018	36.2044	28.3026	5.0515
sub-20691	ses-2	Juelich	lh	Secondary_somatosensory_cortex__Parietal_operculum_OP1_L	814	533	1555	2.817	0.403	0.100	0.014	7	0.5	28	59	30.7541	6.6702	0.1856	42.9578	42.7722	4.6107
sub-20691	ses-2	Juelich	lh	Secondary_somatosensory_cortex__Parietal_operculum_OP2_L	230	151	345	3.189	0.386	0.116	0.020	2	0.2	29	61	28.2290	4.4584	16.5282	40.3336	23.8054	6.3317
sub-20691	ses-2	Juelich	lh	Secondary_somatosensory_cortex__Parietal_operculum_OP3_L	488	329	785	2.925	0.321	0.109	0.019	3	0.4	30	63	29.4925	6.0904	8.1867	43.3704	35.1837	4.8425
sub-20691	ses-2	Juelich	lh	Secondary_somatosensory_cortex__Parietal_operculum_OP4_L	1016	670	2469	3.152	0.450	0.117	0.019	11	0.7	31	65	29.5826	7.1151	7.3178	48.9017	41.5839	4.1577
sub-20691	ses-2	Juelich	lh	Superior_parietal_lobule_5Ci_L	374	239	503	2.780	0.225	0.098	0.010	2	0.2	32	67	33.4956	3.1815	22.0126	40.3733	18.3607	10.5281
sub-20691	ses-2	Juelich	lh	Superior_parietal_lobule_5L_L	690	474	1312	2.463	0.448	0.111	0.017	7	0.5	33	69	28.8036	5.2550	8.5195	39.4638	30.9442	5.4811
sub-20691	ses-2	Juelich	lh	Superior_parietal_lobule_5M_L	677	453	1202	2.651	0.368	0.108	0.016	7	0.4	34	71	28.9422	6.2446	6.2907	40.0005	33.7098	4.6348
sub-20691	ses-2	Juelich	lh	Superior_parietal_lobule_7A_L	2479	1723	5207	2.659	0.393	0.111	0.020	27	2.2	35	73	30.5774	6.5647	6.5632	45.1165	38.5534	4.6579
sub-20691	ses-2	Juelich	lh	Superior_parietal_lobule_7M_L	195	130	414	2.413	0.524	0.140	0.021	6	0.2	36	75	22.3725	5.7599	10.3456	34.3900	24.0444	3.8842
sub-20691	ses-2	Juelich	lh	Superior_parietal_lobule_7PC_L	361	235	760	2.593	0.278	0.133	0.023	6	0.4	37	77	29.2544	5.8582	6.1449	41.6188	35.4739	4.9938
sub-20691	ses-2	Juelich	lh	Superior_parietal_lobule_7P_L	536	381	1193	2.734	0.757	0.131	0.028	8	0.5	38	79	27.4810	6.6293	7.4221	46.6157	39.1936	4.1454
sub-20691	ses-2	Juelich	lh	Visual_cortex_V1_BA17_L	3993	2633	4665	1.869	0.606	0.136	0.030	46	5.4	39	81	17.9997	6.6502	-43.7900	40.6113	84.4013	2.7066
sub-20691	ses-2	Juelich	lh	Visual_cortex_V2_BA18_L	4052	2653	5999	2.214	0.657	0.130	0.029	52	4.9	40	83	21.4356	7.4252	-4.6174	40.7377	45.3551	2.8869
sub-20691	ses-2	Juelich	lh	Visual_cortex_V3V_L	1431	908	1960	2.109	0.390	0.122	0.025	14	1.5	41	85	23.4281	5.6838	2.9619	38.2348	35.2729	4.1219
sub-20691	ses-2	Juelich	lh	Visual_cortex_V4_L	1858	1247	3164	2.502	0.384	0.123	0.024	19	1.9	42	87	25.9136	6.2357	0.4098	40.5228	40.1130	4.1557
sub-20691	ses-2	Juelich	lh	Visual_cortex_V5_L	662	449	1222	2.739	0.345	0.108	0.017	6	0.5	43	89	28.1209	5.4528	9.5586	40.5002	30.9415	5.1572
sub-20691	ses-2	Juelich	lh	Premotor_cortex_BA6_L	6562	4279	15812	3.122	0.518	0.106	0.019	57	5.5	44	91	27.8239	6.8680	4.3992	48.4380	44.0388	4.0512
sub-20691	ses-2	Juelich	lh	Medial_geniculate_body_L	2	1	5	3.383	0.069	0.069	0.022	0	0.0	45	96	20.2946	2.5426	18.4967	22.0925	3.5958	7.9817
sub-20691	ses-2	Juelich	lh	Insula_Id1_L	375	237	519	3.154	0.436	0.096	0.015	2	0.2	46	97	33.4137	7.1950	3.9103	42.5825	38.6722	4.6440
sub-20691	ses-2	Juelich	lh	Insula_Ig1_L	79	55	102	3.018	0.368	0.141	0.019	1	0.1	47	99	29.3479	3.2227	21.3269	35.3436	14.0167	9.1067
sub-20691	ses-2	Juelich	lh	Insula_Ig2_L	290	192	497	3.109	0.415	0.098	0.012	2	0.1	48	101	27.5077	4.7096	14.5511	37.4113	22.8602	5.8407
sub-20691	ses-2	Juelich	rh	Anterior_intraparietal_sulcus_hIP1_R	451	315	850	2.610	0.321	0.101	0.017	5	0.3	2	2	31.3031	6.6647	-0.4971	43.8619	44.3589	4.6969
sub-20691	ses-2	Juelich	rh	Anterior_intraparietal_sulcus_hIP2_R	130	84	230	2.975	0.235	0.104	0.016	1	0.1	3	4	36.0629	4.2654	25.1105	42.7291	17.6186	8.4547
sub-20691	ses-2	Juelich	rh	Anterior_intraparietal_sulcus_hIP3_R	987	679	1766	2.559	0.363	0.108	0.020	9	0.8	4	6	29.5193	5.7079	5.3402	41.4960	36.1558	5.1717
sub-20691	ses-2	Juelich	rh	Amygdala_laterobasal_group_R	23	16	31	2.755	0.806	0.089	0.026	0	0.0	5	10	32.5519	9.6289	0.0000	39.3909	39.3909	3.3806
sub-20691	ses-2	Juelich	rh	Amygdala_superficial_group_R	25	11	3	0.200	0.543	0.232	0.234	1	0.2	6	12	1.8838	5.5257	0.0000	23.0802	23.0802	0.3409
sub-20691	ses-2	Juelich	rh	Brocas_area_BA44_R	2186	1561	5168	2.949	0.435	0.107	0.018	28	1.5	7	14	31.6413	8.0454	-1.6006	46.1868	47.7874	3.9329
sub-20691	ses-2	Juelich	rh	Brocas_area_BA45_R	1439	1063	3705	3.079	0.445	0.119	0.024	23	1.2	8	16	31.4660	7.9383	0.3121	48.0847	47.7726	3.9638
sub-20691	ses-2	Juelich	rh	Hippocampus_cornu_ammonis_R	229	158	302	2.419	0.292	0.121	0.016	2	0.1	9	18	29.7892	4.0545	10.0014	38.3385	28.3370	7.3472
sub-20691	ses-2	Juelich	rh	Hippocampus_entorhinal_cortex_R	1283	903	3462	3.370	0.763	0.110	0.026	12	1.1	10	20	24.4029	8.1991	-12.0336	42.1058	54.1394	2.9763
sub-20691	ses-2	Juelich	rh	Hippocampus_subiculum_R	227	153	455	2.739	0.636	0.115	0.026	3	0.2	11	26	20.8598	7.8423	4.1788	34.1333	29.9544	2.6599
sub-20691	ses-2	Juelich	rh	Inferior_parietal_lobule_PF_R	1517	1033	4085	3.172	0.442	0.119	0.022	22	1.5	12	28	29.3680	7.5903	-0.6752	47.7166	48.3917	3.8692
sub-20691	ses-2	Juelich	rh	Inferior_parietal_lobule_PFcm_R	488	312	740	2.889	0.321	0.077	0.014	2	0.2	13	30	33.4259	4.5790	9.9552	40.8794	30.9242	7.2998
sub-20691	ses-2	Juelich	rh	Inferior_parietal_lobule_PFm_R	1489	1029	2759	2.642	0.380	0.103	0.019	22	1.1	14	32	31.8519	9.1309	-13.3132	44.2276	57.5408	3.4884
sub-20691	ses-2	Juelich	rh	Inferior_parietal_lobule_PFop_R	199	142	471	3.023	0.295	0.115	0.030	3	0.1	15	34	29.6690	9.4931	6.3578	45.8490	39.4913	3.1253
sub-20691	ses-2	Juelich	rh	Inferior_parietal_lobule_PFt_R	913	638	1705	2.784	0.393	0.129	0.027	11	1.1	16	36	31.2355	7.5868	7.2723	44.4465	37.1741	4.1171
sub-20691	ses-2	Juelich	rh	Inferior_parietal_lobule_Pga_R	1897	1356	4783	2.954	0.516	0.111	0.021	24	1.6	17	38	29.3343	7.6407	-4.7662	44.8245	49.5907	3.8392
sub-20691	ses-2	Juelich	rh	Inferior_parietal_lobule_PGp_R	2786	1914	6085	2.886	0.384	0.110	0.018	34	2.1	18	40	29.6985	7.9647	0.4083	44.2266	43.8183	3.7288
sub-20691	ses-2	Juelich	rh	Primary_auditory_cortex_TE10_R	540	347	926	2.710	0.488	0.116	0.019	6	0.4	19	42	27.0040	6.6831	10.1431	42.6541	32.5109	4.0407
sub-20691	ses-2	Juelich	rh	Primary_auditory_cortex_TE11_R	343	219	489	2.753	0.366	0.110	0.014	3	0.2	20	44	25.5302	5.1953	13.5784	36.6671	23.0888	4.9141
sub-20691	ses-2	Juelich	rh	Primary_auditory_cortex_TE12_R	174	114	352	3.209	0.589	0.074	0.008	1	0.1	21	46	31.9992	5.1293	16.6376	38.9407	22.3031	6.2385
sub-20691	ses-2	Juelich	rh	Primary_motor_cortex_BA4a_R	2035	1289	3239	2.273	0.665	0.105	0.019	17	1.6	22	48	22.3423	5.4793	7.4320	40.0014	32.5695	4.0776
sub-20691	ses-2	Juelich	rh	Primary_motor_cortex_BA4p_R	723	477	875	2.165	0.605	0.091	0.011	4	0.3	23	50	25.5246	4.4861	12.6162	39.4974	26.8812	5.6896
sub-20691	ses-2	Juelich	rh	Primary_somatosensory_cortex_BA1_R	1086	703	2007	2.340	0.555	0.125	0.024	15	1.1	24	52	22.8964	6.0213	-0.3509	40.4729	40.8238	3.8026
sub-20691	ses-2	Juelich	rh	Primary_somatosensory_cortex_BA2_R	1817	1204	2802	2.479	0.351	0.089	0.013	9	1.2	25	54	30.1367	4.6488	10.8446	43.3643	32.5197	6.4826
sub-20691	ses-2	Juelich	rh	Primary_somatosensory_cortex_BA3a_R	489	333	528	2.219	0.444	0.137	0.028	4	0.7	26	56	27.6515	4.6959	10.5710	38.5666	27.9956	5.8885
sub-20691	ses-2	Juelich	rh	Primary_somatosensory_cortex_BA3b_R	1736	1128	2321	2.142	0.490	0.083	0.011	8	0.9	27	58	28.5181	4.2450	13.4219	42.1424	28.7205	6.7181
sub-20691	ses-2	Juelich	rh	Secondary_somatosensory_cortex__Parietal_operculum_OP1_R	830	600	1701	2.927	0.415	0.134	0.020	13	0.8	28	60	30.0347	7.2709	0.7849	43.8249	43.0401	4.1308
sub-20691	ses-2	Juelich	rh	Secondary_somatosensory_cortex__Parietal_operculum_OP2_R	271	195	523	3.400	0.305	0.103	0.018	1	0.2	29	62	27.3261	5.0228	5.5855	34.5228	28.9372	5.4404
sub-20691	ses-2	Juelich	rh	Secondary_somatosensory_cortex__Parietal_operculum_OP3_R	524	347	928	3.187	0.443	0.113	0.023	5	0.5	30	64	29.4636	6.1363	-3.1424	41.2408	44.3832	4.8015
sub-20691	ses-2	Juelich	rh	Secondary_somatosensory_cortex__Parietal_operculum_OP4_R	909	642	2148	2.939	0.473	0.126	0.023	13	0.8	31	66	28.0452	7.5748	-2.7482	41.7401	44.4883	3.7024
sub-20691	ses-2	Juelich	rh	Superior_parietal_lobule_5Ci_R	793	535	1350	2.939	0.590	0.099	0.016	4	0.5	32	68	32.4899	4.9008	10.3824	45.9713	35.5889	6.6295
sub-20691	ses-2	Juelich	rh	Superior_parietal_lobule_5L_R	701	480	1535	2.580	0.475	0.132	0.022	11	0.6	33	70	27.9122	5.1941	12.3052	40.9679	28.6628	5.3739
sub-20691	ses-2	Juelich	rh	Superior_parietal_lobule_5M_R	710	476	1650	2.945	0.468	0.107	0.019	7	0.5	34	72	27.2881	5.8814	8.4625	42.9658	34.5033	4.6397
sub-20691	ses-2	Juelich	rh	Superior_parietal_lobule_7A_R	1734	1186	3325	2.629	0.415	0.120	0.021	21	1.5	35	74	30.5333	5.8790	7.8333	45.6193	37.7860	5.1936
sub-20691	ses-2	Juelich	rh	Superior_parietal_lobule_7M_R	353	259	869	2.734	0.400	0.119	0.023	6	0.4	36	76	22.5391	7.3138	2.8615	36.6092	33.7477	3.0817
sub-20691	ses-2	Juelich	rh	Superior_parietal_lobule_7PC_R	298	217	688	2.668	0.505	0.121	0.020	3	0.2	37	78	30.2620	5.4290	13.8367	40.4676	26.6309	5.5741
sub-20691	ses-2	Juelich	rh	Superior_parietal_lobule_7P_R	760	533	1801	2.788	0.536	0.131	0.031	10	0.9	38	80	27.3545	6.3075	-4.4788	42.3847	46.8634	4.3368
sub-20691	ses-2	Juelich	rh	Visual_cortex_V1_BA17_R	4529	3049	5161	1.794	0.672	0.137	0.032	55	6.2	39	82	18.2333	6.8749	-19.0124	41.1215	60.1339	2.6522
sub-20691	ses-2	Juelich	rh	Visual_cortex_V2_BA18_R	3630	2419	4881	2.018	0.648	0.137	0.029	48	4.5	40	84	21.9626	6.1336	3.1762	44.3867	41.2106	3.5807
sub-20691	ses-2	Juelich	rh	Visual_cortex_V3V_R	1458	963	2203	2.233	0.464	0.120	0.026	15	1.6	41	86	23.7908	5.8048	4.4116	41.2401	36.8285	4.0985
sub-20691	ses-2	Juelich	rh	Visual_cortex_V4_R	1321	858	2253	2.560	0.458	0.116	0.022	15	1.2	42	88	26.8548	5.5697	7.3281	39.4582	32.1300	4.8216
sub-20691	ses-2	Juelich	rh	Visual_cortex_V5_R	534	364	898	2.500	0.364	0.104	0.016	4	0.4	43	90	27.5801	3.9642	12.8356	35.7060	22.8704	6.9573
sub-20691	ses-2	Juelich	rh	Premotor_cortex_BA6_R	8062	5423	18478	2.997	0.541	0.114	0.021	75	7.2	44	92	29.1016	7.1360	-51.6083	45.6994	97.3077	4.0781
sub-20691	ses-2	Juelich	rh	Medial_geniculate_body_R	1	1	4	3.269	0.000	0.241	0.061	0	0.0	45	95	22.8392	0.0000	22.8392	22.8392	0.0000	inf
sub-20691	ses-2	Juelich	rh	Insula_Id1_R	222	138	280	3.102	0.341	0.068	0.006	1	0.1	46	98	35.3500	2.6185	29.6226	42.7689	13.1463	13.5000
sub-20691	ses-2	Juelich	rh	Insula_Ig1_R	38	25	48	3.201	0.178	0.099	0.008	0	0.0	47	100	32.0884	1.5277	29.1958	35.2420	6.0462	21.0042
sub-20691	ses-2	Juelich	rh	Insula_Ig2_R	278	180	505	3.389	0.653	0.092	0.016	1	0.2	48	102	28.1681	4.4280	8.7044	37.5414	28.8369	6.3614
