participant_id	session_id	atlas	hemisphere	structname	numvert	surfarea	grayvol	thickavg	thickstd	meancurv	gauscurv	foldind	curvind	index	segid	mean_wgpct	stddev_wgpct	min_wgpct	max_wgpct	range_wgpct	snr_wgpct
sub-20310	ses-1	BA_exvivo	lh	BA1_exvivo	877	605	1789	2.392	0.443	0.141	0.031	16	1.2	2	1	21.4824	6.5415	-7.1662	36.9892	44.1554	3.2840
sub-20310	ses-1	BA_exvivo	lh	BA2_exvivo	3067	2100	5683	2.588	0.449	0.110	0.019	30	2.4	3	2	28.9218	6.1767	4.7190	44.4385	39.7195	4.6824
sub-20310	ses-1	BA_exvivo	lh	BA3a_exvivo	738	484	783	2.111	0.364	0.112	0.017	5	0.6	4	3	27.6977	4.9154	12.9089	38.3926	25.4837	5.6349
sub-20310	ses-1	BA_exvivo	lh	BA3b_exvivo	1779	1183	2778	2.195	0.571	0.096	0.015	15	1.1	5	4	24.4604	6.9086	2.2619	41.9832	39.7212	3.5406
sub-20310	ses-1	BA_exvivo	lh	BA4a_exvivo	1134	707	2749	3.135	0.404	0.099	0.016	8	0.8	6	5	22.5967	4.5870	8.2732	37.5308	29.2576	4.9262
sub-20310	ses-1	BA_exvivo	lh	BA4p_exvivo	783	546	1350	2.764	0.297	0.092	0.015	4	0.4	7	6	25.8901	4.4022	11.8898	38.9398	27.0500	5.8812
sub-20310	ses-1	BA_exvivo	lh	BA6_exvivo	7229	4843	18087	3.145	0.491	0.110	0.019	69	5.8	8	7	30.0565	6.5893	-1.1480	49.2268	50.3748	4.5614
sub-20310	ses-1	BA_exvivo	lh	BA44_exvivo	1700	1165	4125	3.120	0.402	0.101	0.017	20	1.2	9	8	30.3236	8.4155	-6.6526	43.1841	49.8366	3.6033
sub-20310	ses-1	BA_exvivo	lh	BA45_exvivo	2305	1637	5672	2.914	0.478	0.115	0.022	41	2.2	10	9	30.5077	8.3700	-6.5801	47.3738	53.9539	3.6449
sub-20310	ses-1	BA_exvivo	lh	V1_exvivo	2493	1808	3619	2.025	0.460	0.133	0.028	34	2.8	11	10	20.7615	7.4600	-3.9152	38.0391	41.9542	2.7830
sub-20310	ses-1	BA_exvivo	lh	V2_exvivo	6179	4469	11143	2.396	0.495	0.139	0.031	94	7.4	12	11	24.1117	8.9573	-70.4007	47.7426	118.1433	2.6918
sub-20310	ses-1	BA_exvivo	lh	MT_exvivo	1451	1008	2887	2.665	0.418	0.109	0.023	18	1.2	13	12	29.5427	6.4896	-3.4886	41.6315	45.1201	4.5523
sub-20310	ses-1	BA_exvivo	lh	perirhinal_exvivo	488	353	1354	3.853	0.752	0.107	0.021	4	0.4	14	13	22.2784	7.8370	-7.9119	47.3108	55.2227	2.8427
sub-20310	ses-1	BA_exvivo	lh	entorhinal_exvivo	459	278	1219	3.042	1.138	0.093	0.029	6	0.4	15	14	20.2627	9.4654	-0.9282	37.1884	38.1165	2.1407
sub-20310	ses-1	BA_exvivo	rh	BA1_exvivo	752	467	1557	2.470	0.608	0.150	0.033	16	1.1	2	1	21.0083	6.9263	-2.2408	39.6592	41.9000	3.0331
sub-20310	ses-1	BA_exvivo	rh	BA2_exvivo	2637	1767	4333	2.504	0.427	0.110	0.019	26	2.2	3	2	27.5704	6.0735	5.5387	42.1021	36.5634	4.5394
sub-20310	ses-1	BA_exvivo	rh	BA3a_exvivo	843	569	817	2.000	0.388	0.134	0.023	7	0.8	4	3	26.5505	4.4380	8.2311	38.6176	30.3865	5.9825
